Commented By,Points,User
,3xp,"'@bjanusze', '@bmarti57', '@dmpalma1', '@kyazzie9', '@mnez8'"
,3 xp,"'@scarlso9', '@saif', '@asalhar2', '@jvguerr2', '@msolofra', '@jfordian', '@drenner1', '@ocervan1'"
,@saif 3xp,'@saif'
Daniel Lee Allen,3xp,"'@kljohn61', '@jmwillma', '@awines', '@mbruggem', '@mhguerre', '@bcruz10', '@nhensle1'"
Daniel Lee Allen,3xp,"'@nhensle1', '@mhguerre', '@gfernan8', '@bcruz10', '@scarlso9', '@jfordian', '@jvguerr2', '@mbruggem', '@ocervan1', '@drenner1', '@jeville1', '@cmblue1', '@tjneely', '@fjruiz2', '@eapraku', '@javelas3', '@msolofra', '@csjimmie'"
Alexandra Kabbourg,3xp,"'@bjanusze', '@kljohn61', '@smalinda', '@nrodri39', '@gcalimli', '@znsanche', '@Kyla', '@ebonham', '@argome14', '@asuguita', '@nmushro', '@kyazzie9', '@sschwab2', '@satomlin', '@tbubbico', '@awines', '@kgund', '@acrusse2', '@alclar16', '@scihelka', '@bmarti57'"
Alexandra Kabbourg,@marias10 @mnez8 3xp,"'@marias10', '@mnez8'"
Daniel Lee Allen,3xp,"'@jmwillma', '@zazekria', '@afcastr1', '@mhguerre', '@krees1', '@kyazzie9', '@sschwab2', '@Kyla', '@jfordian', '@skmoham2', '@cmblue1', '@saif', '@mbruggem', '@nrodri39', '@bmarti57', '@msolofra', '@javelas3', '@scarlso9', '@yhamadah', '@awines', '@aheller5', '@jvguerr2', '@csjimmie', '@acrusse2', '@drgardi1', '@kgund', '@ztheller', '@bjanusze', '@marias10', '@drenner1', '@tjneely', '@smalinda', '@bcruz10', '@gfernan8', '@nhensle1', '@cbendel', '@phlee3', '@cccouch'"
Erik Cesek,@alclar16 3xp,'@alclar16'
Erik Cesek,@kgund 3xp,'@kgund'
Erik Cesek,@bjanusze 3xp,'@bjanusze'
Daniel Lee Allen,3xp,"'@msolofra', '@javelas3', '@gfernan8', '@nhensle1', '@mhguerre', '@scarlso9', '@ocervan1', '@cmblue1', '@dmcdanne', '@jeville1', '@eapraku', '@drenner1', '@tjneely', '@csjimmie', '@asalhar2', '@wgrganto', '@phlee3', '@aheller5', '@ztheller', '@kogbanga'"
Samantha Erdmann,3xp,"'@sschwab2', '@scihelka', '@smalinda', '@asuguita', '@nmushro', '@ebonham', '@acrusse2', '@argome14', '@znsanche', '@nrodri39', '@gcalimli', '@kgund', '@satomlin', '@sbalconi', '@alclar16', '@bmarti57', '@mnez8', '@kyazzie9', '@marias10', '@bjanusze', '@krees1'"
